rank,title,release_year,country,reservation,audience,movie_id,image_url
1,야당,2024,한국,36%,17.8만명,mdKpkjk,https://an2-img.amz.wtchn.net/image/v2/8Q6Us5CIi3YxmCQsftPO3Q.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpJeE9ERXdPVEl6TVRVME5UWTROVGdpZlEuZFo3dmlEekQ3LTUzSy1tSmtmRXZZemx4ZVUtZ3RleVNEN3JZLVdIOFpETQ==
2,거룩한 밤: 데몬 헌터스,2024,한국,16%,16%,mOkLA4w,https://an2-img.amz.wtchn.net/image/v2/nsb7QfnT5le1uY4O32s3Hw.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpZd01UazBPVEUzT1RVM016VXpNU0o5LjBtdnU1QS0zNDFYdkstQ19YakdhX19vUzZDT3lvT2VIcjRWQ3ZFQy1ZYk0=
3,파과,2024,한국,12%,247명,mWw3jVl,https://an2-img.amz.wtchn.net/image/v2/3gvEGZd-k9ukUyMn4v1GGQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpJNE5UVTFNekl6TVRnNE56WTNNaklpZlEuNEpORGZTQVIwejZpZ3FYN1J0RDM1cG93Z21ldElEeHZndGJ4TklWalAzWQ==
4,A MINECRAFT MOVIE 마인크래프트 무비,2025,미국,7.9%,268명,m5DP3A7,https://an2-img.amz.wtchn.net/image/v2/Gb6KqXb-ae0A-pUMw9beNg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpNME5ESXlNREV3TnpJeU1UTTNOelVpZlEuazRFYTg3QlFSd1pDS2lfWmw4VEwxMlBaUVVUc0t5Qms4OWVUV1ZHUXVpQQ==
5,승부,2025,한국,6.4%,189.3만명,m5ekxEM,https://an2-img.amz.wtchn.net/image/v2/dU1Wpv61k12PMd0r3JRLtQ.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFMk9UZzFPVGN6TXpZME1ETXpOREVpZlEub0xETUhxZE1weHRHT3NVUEJzNHk4YjZZSzZ5YmF3aHVkTExkNEhCSkVEMA==
6,극장판 진격의 거인 완결편 더 라스트 어택,2024,일본,4.1%,73.0만명,mWJXQMx,https://an2-img.amz.wtchn.net/image/v2/SlbzpJlLRldcpusDZU2htg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpZek5qQTNNamN6TmpZMU9EQTBNU0o5LkxQUVBEZ3NreEpDNENxeVRsNnNneDNqUjVhR1E5c3JGVnNyRVZLREJCN00=
7,극장판 프로젝트 세카이 부서진 세카이와 전해지지 않는 미쿠의 노래,2025,일본,2.2%,2.2%,md6lwny,https://an2-img.amz.wtchn.net/image/v2/E9XhkRgmz1ZGwrKgbYCtNg.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFek5UVTNNekEwTkRrME5UazJNemdpZlEuN3JFeWU0UWdfM2xEeUNUdHVvUURCUEFqX0xYa3hETDA4ZVUxTGU0WmJxYw==
8,마리아,2024,독일,1.6%,"7,277명",mdEmRxb,https://an2-img.amz.wtchn.net/image/v2/wYv4To9m8KrqMeYfRrE_9g.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFME1qZzRORFF6TkRNeU1UQXhNVElpZlEuREVOVEcxLXNCeEItazdUeGE3YWNYaHJ2ck90RW5UUWd5U09LeHlSMTRlNA==
9,해피엔드,2024,미국,1.2%,708명,mW9pL6K,https://an2-img.amz.wtchn.net/image/v2/_iRhJrMXqga-938v81r-ww.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpFeE9EYzROemMwT0RnNU9EUTNJbjAuemNMMmJhaElfMnhSaEVLYzEyYWY5Y08wTDFQeEdxWjhzYnVIMWdfelJjMA==
10,플로우,2024,라트비아,1.1%,15.9만명,m5mYe7z,https://an2-img.amz.wtchn.net/image/v2/Xwhbk7rDOFdhSrNi8kMu_g.jpg?jwt=ZXlKaGJHY2lPaUpJVXpJMU5pSjkuZXlKdmNIUnpJanBiSW1SZk5Ea3dlRGN3TUhFNE1DSmRMQ0p3SWpvaUwzWXlMM04wYjNKbEwybHRZV2RsTHpjeE9ERXpNRE14TXpBeU5qa3dPQ0o5LkdlZVNrT1Zrd05lMlExMmRoeWZGRUhXWUk1M0xUNUxjdjJkdWd6NFFPalU=
